"Date(UTC)","BlockNumber","UnixTimeStamp","Value","ClientVersion"
"3/16/2020","9679260","1584317390","4190836374603","1.9.11"
"3/17/2020","9685748","1584403787","4194875081777","1.9.11"
"3/18/2020","9692267","1584490174","4198965067308","1.9.11"
"3/19/2020","9698781","1584576591","4206796003475","1.9.11"
"3/20/2020","9705254","1584662991","4213526654387","1.9.11"
"3/21/2020","9711704","1584749395","4216846437710","1.9.11"
"3/22/2020","9718148","1584835778","4223893465954","1.9.11"
"3/23/2020","9724448","1584922201","4227558580869","1.9.11"
"3/24/2020","9730911","1585008586","4235501984208","1.9.11"
"3/25/2020","9737246","1585094991","4240734168372","1.9.11"
"3/26/2020","9743608","1585181383","4247651933483","1.9.11"
"3/27/2020","9750097","1585267776","4250839109245","1.9.11"
"3/28/2020","9756648","1585354186","4258704834280","1.9.11"
"3/29/2020","9763135","1585440549","4262149646092","1.9.11"
"3/30/2020","9769726","1585527077","4266777828782","1.9.11"
"3/31/2020","9776164","1585613383","4271565461023","1.9.11"
"4/1/2020","9782652","1585699788","4276175851279","1.9.11"
"4/2/2020","9789193","1585786183","4281452197474","1.9.11"
"4/3/2020","9795685","1585872538","4288678097153","1.9.11"
"4/4/2020","9802210","1585958996","4293980491076","1.9.11"
"4/5/2020","9808704","1586045389","4298670415052","1.9.11"
"4/6/2020","9815205","1586131769","4307580869940","1.9.11"
"4/7/2020","9821632","1586218153","4312859353506","1.9.11"
"4/8/2020","9828201","1586304593","4319800827240","1.9.11"
"4/9/2020","9834697","1586390966","4325079298282","1.9.11"
"4/10/2020","9841174","1586477399","4332101630720","1.9.12"
"4/11/2020","9847685","1586563765","4336689245969","1.9.12"
"4/12/2020","9854105","1586650192","4341924562787","1.9.12"
"4/13/2020","9860682","1586736585","4346818589856","1.9.12"
"4/14/2020","9867187","1586822997","4351324267988","1.9.12"
"4/15/2020","9873678","1586909368","4359152472710","1.9.12"
"4/16/2020","9880178","1586995797","4363783737386","1.9.12"
"4/17/2020","9886637","1587082199","4370256529553","1.9.12"
"4/18/2020","9893081","1587168577","4375526925644","1.9.12"
"4/19/2020","9899532","1587255005","4382237303263","1.9.12"
"4/20/2020","9906017","1587341392","4388829491517","1.9.12"
"4/21/2020","9912501","1587427777","4396671244866","1.9.12"
"4/22/2020","9918944","1587514198","4400823500772","1.9.12"
"4/23/2020","9925420","1587600573","4407617428759","1.9.12"
"4/24/2020","9931878","1587686978","4415451634701","1.9.12"
"4/25/2020","9938351","1587773350","4420220872359","1.9.12"
"4/26/2020","9944771","1587859749","4425066045112","1.9.12"
"4/27/2020","9951236","1587946187","4432518799162","1.9.12"
